k,E,E_min,E_max
165.0,6.086080520176061e-06,4.40303545265e-06,7.29918567795e-06
166.0,5.806347405263637e-06,4.2156565294e-06,6.99747573236e-06
167.0,5.67132008774091e-06,4.10788600465e-06,6.81587216397e-06
168.0,5.469520016078484e-06,3.94493900358e-06,6.58028706241e-06
169.0,5.3003203669257565e-06,3.82741488875e-06,6.37164234546e-06
170.0,5.17825978440303e-06,3.73227136424e-06,6.23259219956e-06
171.0,4.961525970823334e-06,3.57491306667e-06,5.96809047082e-06
172.0,4.836061731456968e-06,3.48862069211e-06,5.84377818263e-06
173.0,4.69887314380303e-06,3.37489387711e-06,5.665033696e-06
174.0,4.588475868709091e-06,3.30238178716e-06,5.53192541013e-06
175.0,4.41232185940606e-06,3.17981161492e-06,5.31928960612e-06
176.0,4.334560069594849e-06,3.12785825131e-06,5.23393373856e-06
177.0,4.223140448229697e-06,3.04234361164e-06,5.08812282654e-06
178.0,4.12165056110485e-06,2.97208874044e-06,4.96266581713e-06
179.0,4.000272894458789e-06,2.88896307559e-06,4.83427128999e-06
180.0,3.902727758599698e-06,2.81191392109e-06,4.71075271742e-06
181.0,3.8126681107893946e-06,2.75816354269e-06,4.60705738115e-06
182.0,3.696410314744849e-06,2.67077296257e-06,4.45915532306e-06
183.0,3.5993886874484844e-06,2.59803988176e-06,4.33549339084e-06
184.0,3.489110854310606e-06,2.52598836409e-06,4.20382603024e-06
185.0,3.3906102979821217e-06,2.45999302404e-06,4.09370552293e-06
186.0,3.27258704836303e-06,2.37805816862e-06,3.94314926612e-06
187.0,3.1678720908806068e-06,2.30785365452e-06,3.81700116147e-06
188.0,3.0616908766221213e-06,2.21760578472e-06,3.6897958357e-06
189.0,2.9564730643321205e-06,2.144068985e-06,3.56309912042e-06
190.0,2.8296159577127267e-06,2.05201349913e-06,3.41721603741e-06
191.0,2.7620065455324245e-06,2.0026726089e-06,3.3364389636e-06
192.0,2.6568547348869695e-06,1.93143027036e-06,3.20780602689e-06
193.0,2.563460171692425e-06,1.86057532402e-06,3.09275751255e-06
194.0,2.490559624329394e-06,1.81212486625e-06,3.00164717053e-06
195.0,2.3900255348042418e-06,1.73504656815e-06,2.88340775323e-06
196.0,2.3174600083630303e-06,1.68343998534e-06,2.80091413812e-06
197.0,2.221198511336667e-06,1.61808868242e-06,2.68999388239e-06
198.0,2.1448085888721217e-06,1.56039121623e-06,2.58755748482e-06
199.0,2.058712158890909e-06,1.49949627682e-06,2.48643769892e-06
200.0,1.9808380142878787e-06,1.44551495242e-06,2.39511837718e-06
201.0,1.913247861456061e-06,1.3967285741e-06,2.31690559509e-06
202.0,1.8396143654481823e-06,1.33868898139e-06,2.22835342482e-06
203.0,1.7580590853939399e-06,1.28124798695e-06,2.12458999906e-06
204.0,1.6928541695654548e-06,1.23316058947e-06,2.04396041655e-06
205.0,1.63133915445697e-06,1.18695115955e-06,1.97351018918e-06
206.0,1.5492438952899997e-06,1.12738933965e-06,1.87287051391e-06
207.0,1.494133152749697e-06,1.08756518079e-06,1.80981236767e-06
208.0,1.434705233075151e-06,1.04284018645e-06,1.73974868731e-06
209.0,1.3783433887309092e-06,1.00233765534e-06,1.66670414318e-06
210.0,1.314490906375636e-06,9.52497896256e-07,1.5939235499e-06
211.0,1.2577896478254242e-06,9.13697605118e-07,1.52540664388e-06
212.0,1.2075730939514846e-06,8.76579762688e-07,1.4635660195e-06
213.0,1.1590156459886665e-06,8.3764557284e-07,1.40723151361e-06
214.0,1.1128824124872728e-06,8.0657933683e-07,1.35124347295e-06
215.0,1.0613568774499395e-06,7.6827849548e-07,1.28814804052e-06
216.0,1.0220507609110303e-06,7.38495578898e-07,1.24011594415e-06
217.0,9.869603014708789e-07,7.13031608278e-07,1.20267865899e-06
218.0,9.423000023469397e-07,6.80462438633e-07,1.14482181831e-06
219.0,9.099488569576362e-07,6.57364904707e-07,1.10524883524e-06
220.0,8.760958426653639e-07,6.31528966962e-07,1.06443333132e-06
221.0,8.488708142586666e-07,6.12804897308e-07,1.03177077521e-06
222.0,8.119848827245454e-07,5.86751769071e-07,9.86807484417e-07
223.0,7.873923321175452e-07,5.68533022835e-07,9.55837745902e-07
224.0,7.589289821641819e-07,5.47090703457e-07,9.22449482704e-07
225.0,7.40605254637788e-07,5.33481057835e-07,9.02863276724e-07
226.0,7.166160034565454e-07,5.14749071484e-07,8.71146361064e-07
227.0,6.928111860753639e-07,4.98651619867e-07,8.43668673739e-07
228.0,6.752497178851819e-07,4.86828973191e-07,8.22112091504e-07
229.0,6.582425938364545e-07,4.74152843844e-07,8.01735396597e-07
230.0,6.401427992364851e-07,4.60261374105e-07,7.8046460718e-07
231.0,6.224169447797576e-07,4.4748897206e-07,7.59862416972e-07
232.0,6.127851455884242e-07,4.41118638921e-07,7.48461490652e-07
233.0,5.984911088223634e-07,4.30759492237e-07,7.27685228671e-07
234.0,5.873291791279999e-07,4.2108030617e-07,7.15686487626e-07
235.0,5.707514734059698e-07,4.1101354501e-07,6.9398593945e-07
236.0,5.648192984157273e-07,4.06586319579e-07,6.87758076479e-07
237.0,5.547298462306061e-07,3.99260278775e-07,6.75028656841e-07
238.0,5.448011228298182e-07,3.9300138199e-07,6.62880887791e-07
239.0,5.385917347754847e-07,3.88354790568e-07,6.5443560945e-07
240.0,5.288593972411515e-07,3.80577864403e-07,6.42933329342e-07
241.0,5.215573886169089e-07,3.76216620587e-07,6.324743126e-07
242.0,5.141147516590303e-07,3.71872501128e-07,6.25387037085e-07
243.0,5.036894439918483e-07,3.65293431473e-07,6.1097745685e-07
244.0,4.977109847618486e-07,3.60034258506e-07,6.04239746256e-07
245.0,4.86758896800606e-07,3.53463966167e-07,5.89668036227e-07
246.0,4.7534948170445443e-07,3.44072325162e-07,5.77619551878e-07
247.0,4.6314647432181813e-07,3.37354838372e-07,5.62150990224e-07
248.0,4.517642797981818e-07,3.2875198065e-07,5.47447462715e-07
249.0,4.389104297706062e-07,3.19102627731e-07,5.32502105875e-07
250.0,4.2414246178503015e-07,3.10970201386e-07,5.13694622735e-07
251.0,4.1007748022581813e-07,2.99935878266e-07,4.9839007479e-07
252.0,3.973127919085758e-07,2.89605511832e-07,4.82709841815e-07
253.0,3.8279717185393946e-07,2.79298945728e-07,4.65315695781e-07
254.0,3.6789072330951523e-07,2.68702665011e-07,4.47450385184e-07
255.0,3.541996721786667e-07,2.58692305747e-07,4.30232945858e-07
256.0,3.451996999529697e-07,2.52089898993e-07,4.2024721608e-07
